district,property_type,sales,new_listings,inventory,months_supply,benchmark_price,benchmark_yoy_pct,date,days_on_market,median_price,average_price,prev_benchmark_price
City Centre,Detached,54.0,182.0,439.0,8.13,650100.0,-5.07,2019-01-01,,,,
North East,Detached,72.0,135.0,304.0,4.22,363400.0,-3.58,2019-01-01,,,,
North,Detached,64.0,148.0,352.0,5.5,416700.0,-2.64,2019-01-01,,,,
North West,Detached,84.0,190.0,388.0,4.62,505000.0,-6.19,2019-01-01,,,,
West,Detached,84.0,190.0,388.0,4.62,505000.0,-6.19,2019-01-01,,,,
South,Detached,93.0,291.0,560.0,6.02,440700.0,-6.39,2019-01-01,,,,
South East,Detached,65.0,176.0,377.0,5.8,428800.0,-3.45,2019-01-01,,,,
East,Detached,72.0,135.0,304.0,4.22,363400.0,-3.58,2019-01-01,,,,
Calgary,Detached,486.0,1361.0,2834.0,5.83,476500.0,-4.45,2019-01-01,,,,
City Centre,Apartment,26.0,122.0,284.0,10.92,717200.0,-6.32,2019-01-01,,,,
North East,Apartment,7.0,37.0,57.0,8.14,286800.0,-5.03,2019-01-01,,,,
North,Apartment,6.0,20.0,50.0,8.33,320700.0,2.66,2019-01-01,,,,
North West,Apartment,10.0,30.0,53.0,5.3,366200.0,-5.69,2019-01-01,,,,
West,Apartment,10.0,30.0,53.0,5.3,366200.0,-5.69,2019-01-01,,,,
South,Apartment,11.0,33.0,66.0,6.0,311600.0,-6.4,2019-01-01,,,,
South East,Apartment,12.0,23.0,53.0,4.42,303000.0,-3.75,2019-01-01,,,,
East,Apartment,7.0,37.0,57.0,8.14,286800.0,-5.03,2019-01-01,,,,
Calgary,Apartment,126.0,516.0,1173.0,9.31,251300.0,-1.99,2019-01-01,,,,
City Centre,Semi-Detached,15.0,76.0,159.0,10.6,435300.0,-7.48,2019-01-01,,,,
North East,Semi-Detached,13.0,39.0,100.0,7.69,192600.0,-4.61,2019-01-01,,,,
North,Semi-Detached,15.0,55.0,123.0,8.2,248600.0,-4.27,2019-01-01,,,,
North West,Semi-Detached,8.0,26.0,74.0,9.25,296700.0,-4.32,2019-01-01,,,,
West,Semi-Detached,8.0,26.0,74.0,9.25,296700.0,-4.32,2019-01-01,,,,
