source,date,title,summary,url
CBC Calgary,2026-03-15,Alberta’s latest roadkill numbers highest ever recorded by carcass monitoring program,"According to Alberta Wildlife Watch, a provincial government program, more than 7,400 animals were reported as roadkill in 2025 — about a 13 per cent increase from 2024 and the highest ever recorded by the program.",https://www.cbc.ca/news/canada/calgary/alberta-wildlife-watch-roadkill-carcass-9.7127651?cmp=rss
CBC Calgary,2026-03-15,Alberta Crown corporation study finds Red Deer OD prevention site closure didn’t lead to more deaths,"New research by a Crown corporation created by Alberta’s UCP government found that last year’s closure of Red Deer’s only overdose prevention site did not lead to increases in overdose deaths, emergency department visits or ambulance calls among former site users. But not everyone is happy with the study.",https://www.cbc.ca/news/canada/edmonton/red-deer-overdose-prevention-closure-study-core-alberta-government-9.7128107?cmp=rss
OilPrice.com,2026-03-15,Middle East Crisis Could Triple Pakistan’s Oil Import Bill,"Previously, we reported that Pakistan could find itself sucked into the Middle East war thanks to the Strategic Mutual Defence Agreement (SMDA) it signed with Saudi Arabia in September 2025. The core of the agreement states that any aggression against one country is considered an aggression against both, potentially requiring Pakistan to intervene against Iran’s missile strikes on Saudi Arabia. Ho...",https://oilprice.com/Energy/Crude-Oil/Middle-East-Crisis-Could-Triple-Pakistans-Oil-Import-Bill.html
OilPrice.com,2026-03-15,Asia’s LNG Lifeline Takes a Hit,"Asia is the biggest market for liquefied natural gas. Asia is also the destination of up to 90% of Qatari and Emirati LNG—or was, until this month. With the shutdown of Qatar’s Ras Laffan LNG complex and the Strait of Hormuz traffic disruption, Asia is facing a lot of energy supply pain. QatarEnergy announced a complete halt to LNG production after Iranian drone strikes hit facilities at Ras Laffa...",https://oilprice.com/Energy/Crude-Oil/Asias-LNG-Lifeline-Takes-a-Hit.html
OilPrice.com,2026-03-15,How the Iran War Could Reshape Global Energy Policy,"The U.S.-Israeli attack on Iran and the ongoing conflict in the Middle East have caused the biggest oil disruption in history. The closure of a major transit route between Asia and Europe, as well as restrictions on fossil fuel production in the region, have driven oil and gas prices up, a trend that is set to continue. So, as governments are facing rising consumer energy bills once again, will it...",https://oilprice.com/Energy/Energy-General/How-the-Iran-War-Could-Reshape-Global-Energy-Policy.html
Better Dwelling,2026-03-15,"This Week’s Top Stories: Canada’s Supersized Mortgage Defaults, & Toronto’s Unwanted Condos","Time for your cheat sheet on this week&#8217;s top stories. Canadian Real Estate Canada’s Mortgage Delinquency Surge Now Resembles US Housing Crash Canadian mortgage delinquencies are climbing in an unexpected segment. Mortgages over $850k hit a 0.52% delinquency rate in Q3 2025, more than double the 0.24% rate for mortgages under $200k. Over two years, [&#8230;]
The post This Week’s Top Stories: ...",https://betterdwelling.com/this-weeks-top-stories-canadas-supersized-mortgage-defaults-torontos-unwanted-condos/
CBC Calgary,2026-03-14,"Alberta town wins $50K toward arena rebuild, holds street hockey fundraiser",A southern Alberta town that  lost the use of its aging hockey arena after an explosion has won thousands of dollars to use in its recovery efforts. Taber was revealed Saturday as one of the Kraft Hockeyville contest’s provincial winners  after a two-week judging process.,https://www.cbc.ca/news/canada/calgary/taber-arena-explosion-rebuild-fundraiser-9.7128259?cmp=rss
CBC Calgary,2026-03-14,"Excited Einarson opens 'louder' world championship with wins over Sweden, U.S.","Canadian skip Kerri Einarson looked up Saturday and saw real people, instead of cardboard cut-outs, in the stands at Calgary's WinSport Event Centre. She heard the roar of the crowd instead of the sound of flushing toilets piercing the silence.",https://www.cbc.ca/sports/women-curling-worlds-march-14-9.7128584?cmp=rss
CBC Calgary,2026-03-14,First-of-its-kind community 'chicken school' planned for northeast Calgary,"Plans for what could be a first-of-its-kind ""chicken school"" and urban hen coop — a concept similar to a community garden — are in the works for northeast Calgary. The idea was hatched by the Winston Heights-Mountview Community Association, which hopes to build a large coop housing a dozen chickens for, among other community benefits, educational purposes.",https://www.cbc.ca/news/canada/calgary/chicken-school-community-coop-calgary-9.7129158?cmp=rss
CBC Calgary,2026-03-14,"Alberta power policies trigger $408M devaluation to ATCO's wind and solar division, company says","The Calgary-based giant warned of ""legal recourse"" if province doesn't alter reforms that harm renewable projects.",https://www.cbc.ca/news/canada/calgary/atco-blames-alberta-power-policies-as-it-devalues-wind-and-solar-projects-by-408m-9.7128473?cmp=rss
CBC Calgary,2026-03-14,Province reports baby died of influenza in Alberta,"An Alberta infant has died of the flu, the first death of someone under under the age of 20 so far this flu season.",https://www.cbc.ca/news/canada/calgary/infant-influenza-alberta-9.7129043?cmp=rss
CBC Calgary,2026-03-14,Alberta merges its largest river basins as major update to water rules comes into effect,"Alberta’s two largest river basins have become one, part of a suite of major updates to the province’s water rules that came into force this week. While the provincial government says the change will remove a barrier for operations that straddle the basin's boundary, conservation groups worry about the implications for the environment.",https://www.cbc.ca/news/canada/calgary/alberta-river-basins-peace-slave-athabasca-basin-water-act-9.7128174?cmp=rss
CBC Calgary,2026-03-14,"Carney, Norway PM push message of oil-market stability as war in Middle East rattles global supply",Prime Minister Mark Carney and Norway’s Jonas Gahr Støre stressed energy stability during talks in Oslo as the Middle East war rattles global oil markets. Canada will release 23.6 million barrels following an International Energy Agency call for coordinated action. Both leaders also urged de-escalation and pledged closer Canada-Norway cooperation on Arctic security.,https://www.cbc.ca/news/politics/carney-norway-canada-oil-iran-war-9.7129012?cmp=rss
CBC Calgary,2026-03-14,Canadians might be soon waiting longer to have their air travel complaints heard,The federal government is currently weighing whether to renew funding meant to address a massive backlog of airline passenger complaints — funding that if not extended could result in Canadians having to wait longer to have their cases heard.,https://www.cbc.ca/news/politics/funding-to-clear-backlog-air-passenger-complaints-9.7127811?cmp=rss
OilPrice.com,2026-03-14,Futures Market Misreads the Hormuz Oil Shock,"The oil futures paper market is likely underestimating the massive supply disruption that a closed Strait of Hormuz is creating in physical crude and fuel supply globally. Crude futures prices briefly spiked early this week to $119 per barrel, before retreating to the $90s and trading at $100 a barrel early on Friday in Asian trade. However, the premium of physical Dubai crude has surged to $38 pe...",https://oilprice.com/Energy/Crude-Oil/Futures-Market-Misreads-the-Hormuz-Oil-Shock.html
OilPrice.com,2026-03-14,How History Keeps the U.S. and Iran on a Collision Course,"The United States and Iran are fighting not just because of their differences, but also because of their similarities. Both countries see themselves as exceptional civilizations shaped by religion and sustained by a sense of victimhood. Each believes it has been repeatedly wronged by the other and is therefore acting defensively. This mutual narrative has become one of the most powerful forces sha...",https://oilprice.com/Geopolitics/International/How-History-Keeps-the-US-and-Iran-on-a-Collision-Course.html
OilPrice.com,2026-03-14,Jet Fuel Prices Soar as War in Iran Ripples Through Global Aviation,"As the war in Iran spills over into other parts of the Middle East, energy experts expect the price of several oil and gas products to soar over the coming months, driven by shortages. This will likely affect flight prices, with several airlines warning of anticipated price hikes. It could lead to a travel slump, as consumers wait for prices to fall again. Australia’s Qantas Airways, Scandinavia’s...",https://oilprice.com/Energy/Energy-General/Jet-Fuel-Prices-Soar-as-War-in-Iran-Ripples-Through-Global-Aviation.html
CBC Calgary,2026-03-13,Boil water advisory issued for 500 southwest Calgary homes and businesses,"A boil water advisory has been issued by Alberta Health Services for approximately 500 homes and businesses located in the southwest community of Spruce Cliff, and some areas of Wildwood and Rosscarrock, effective immediately.",https://www.cbc.ca/news/canada/calgary/boil-water-advisory-southwest-calgary-9.7128495?cmp=rss
CBC Calgary,2026-03-13,"In a provincial first, Alberta government to partially fund independent school construction",The Alberta government — for the first time — will partially fund the construction and expansion of independent schools in an attempt to create more student spaces.,https://www.cbc.ca/news/canada/edmonton/alberta-government-independent-school-construction-9.7128474?cmp=rss
CBC Calgary,2026-03-13,"Second review of Calgary's troubled water system coming, courtesy of provincial government","The provincial government has announced former Alberta Energy Regulator chair David Goldie will conduct a secondary review of Calgary’s troubled water system and the handling of it, after promising in January to do its own assessment.",https://www.cbc.ca/news/canada/calgary/alberta-david-goldie-review-calgary-water-system-9.7128004?cmp=rss
OilPrice.com,2026-03-13,Trump Bombs Iran’s Kharg Island and Threatens to Hit Oil Exports,"U.S. President Donald Trump said American forces had launched a major bombing raid on Iran’s strategic Kharg Island, targeting military facilities on the key Persian Gulf outpost while warning Tehran that its vital oil infrastructure could be destroyed if shipping in the Strait of Hormuz is disrupted. In a social media statement, Trump said that at his direction the United States Central Command c...",https://oilprice.com/Latest-Energy-News/World-News/Trump-Bombs-Irans-Kharg-Island-and-Threatens-to-Hit-Oil-Exports.html
